symbol,signal,horizon,IC,p,n
TQQQ,momentum_1min,5,-0.006332856727121821,0.16817756732950762,47355
TQQQ,momentum_1min,10,-0.0064187589907073565,0.16523552826370289,46740
TQQQ,momentum_1min,30,-0.010152514104511942,0.03264932013214142,44280
TQQQ,momentum_2min,5,-0.010586676130536665,0.021403057756292802,47232
TQQQ,momentum_2min,10,-0.008974344388984586,0.05266775796057064,46617
TQQQ,momentum_2min,30,-0.01569359604757165,0.0009741288509390162,44157
TQQQ,momentum_5min,5,-0.013858047059037768,0.002699484490956141,46863
TQQQ,momentum_5min,10,-0.01927782122356362,3.3828101026553865e-05,46248
TQQQ,momentum_5min,30,-0.020169745563493737,2.4327965884278235e-05,43788
TQQQ,momentum_10min,5,-0.008289324826086046,0.07464645432721724,46248
TQQQ,momentum_10min,10,-0.025713940956288196,3.93510728749877e-08,45633
TQQQ,momentum_10min,30,-0.016423023503454762,0.0006436383841156612,43173
TQQQ,momentum_20min,5,-0.01227044255006399,0.009227721614965703,45018
TQQQ,momentum_20min,10,-0.024645801118536204,2.058113550892882e-07,44403
TQQQ,momentum_20min,30,0.0017917929984816933,0.7136575159064473,41943
TQQQ,LIVE momentum10*log1p(volr),10,-0.024161426846352033,2.443937382405428e-07,45633
SOXL,momentum_1min,5,-0.0003984571036482301,0.9309045887819267,47355
SOXL,momentum_1min,10,-0.003975206648872546,0.39012116234524136,46740
SOXL,momentum_1min,30,-0.005651861990990737,0.23432686654247456,44280
SOXL,momentum_2min,5,-0.005727451843503135,0.21323467672408708,47232
SOXL,momentum_2min,10,-0.010452633602015763,0.02401894003833708,46617
SOXL,momentum_2min,30,-0.010399944860513316,0.028859778836863626,44157
SOXL,momentum_5min,5,-0.0082930943635419,0.0726121670013351,46863
SOXL,momentum_5min,10,-0.020469428283469027,1.0707768992776196e-05,46248
SOXL,momentum_5min,30,-0.01809509052743072,0.00015265816162681823,43788
SOXL,momentum_10min,5,-0.010609638762837357,0.02251046740947333,46248
SOXL,momentum_10min,10,-0.03203275885951524,7.681371139761649e-12,45633
SOXL,momentum_10min,30,-0.01929937296690953,6.064088364037249e-05,43173
SOXL,momentum_20min,5,-0.010724931785803173,0.022872428060407814,45018
SOXL,momentum_20min,10,-0.026694153942379194,1.8460594926367785e-08,44403
SOXL,momentum_20min,30,0.002168948088397207,0.6569069271414623,41943
SOXL,LIVE momentum10*log1p(volr),10,-0.02938953507230776,3.400087314570397e-10,45633
SPY,momentum_1min,5,-0.006337418224843875,0.16787133736134838,47355
SPY,momentum_1min,10,-0.00445989149594801,0.3349544955539779,46740
SPY,momentum_1min,30,-0.011832470223571059,0.012777850008750818,44280
SPY,momentum_2min,5,-0.014088800486892742,0.002198786798003777,47232
SPY,momentum_2min,10,-0.009097801420364766,0.049496287473239774,46617
SPY,momentum_2min,30,-0.015265561887471893,0.0013369162751051596,44157
SPY,momentum_5min,5,-0.015134793787298916,0.0010511728747341872,46863
SPY,momentum_5min,10,-0.016665996794122936,0.00033807062269271824,46248
SPY,momentum_5min,30,-0.01869211764851738,9.16621737592431e-05,43788
SPY,momentum_10min,5,-0.008682475462634025,0.061876273956185335,46248
SPY,momentum_10min,10,-0.021347983925316588,5.097708931415886e-06,45633
SPY,momentum_10min,30,-0.011844259976505012,0.013853922921111917,43173
SPY,momentum_20min,5,-0.009521898535956738,0.04335296884769998,45018
SPY,momentum_20min,10,-0.01938873372718444,4.391257707146498e-05,44403
SPY,momentum_20min,30,0.007019577750821743,0.1505522078216935,41943
SPY,LIVE momentum10*log1p(volr),10,-0.019852500736074596,2.223580975261721e-05,45633
