fold,train_start,test_start,test_end,params,is_trade_count,oos_trade_count,is_expectancy,oos_expectancy,is_total_pnl,oos_total_pnl,is_win_rate,oos_win_rate,is_profit_factor,oos_profit_factor,is_sharpe,oos_sharpe
0,2026-01-01,2026-02-12,2026-02-26,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.06)}",82,25,0.1437109171314791,-0.2035635718334032,11.784295204781287,-5.08908929583508,34.146341463414636,36.0,1.2593513478060825,0.6666541059004483,2.912727335819799,3.7583398760216835
1,2026-01-15,2026-02-26,2026-03-12,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.06)}",91,34,0.01352337527801341,0.3282505602896399,1.2306271502992203,11.160519049847757,32.967032967032964,32.35294117647059,1.0230909584813945,1.4741189650791948,1.115072890932412,3.5642451123535346
2,2026-01-29,2026-03-12,2026-03-26,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.06)}",103,33,0.12188388772424971,-0.13711172804762883,12.55404043559772,-4.524687025571751,33.00970873786408,27.27272727272727,1.1934860987184277,0.745032931249399,1.6220748647421954,-1.966557889030593
3,2026-02-12,2026-03-26,2026-04-09,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.06)}",92,33,-0.051454544347188366,0.04668034732952267,-4.733818079941329,1.5404514618742482,31.521739130434785,33.33333333333333,0.9091269094542315,1.0764263589989589,0.667730233673279,3.583170488508111
4,2026-02-26,2026-04-09,2026-04-23,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.06)}",100,17,0.10107730608152848,1.0776453464175746,10.107730608152849,18.31997088909877,31.0,52.94117647058824,1.1414930559994876,2.9797716325377763,1.3609435132033147,13.079804634847438
5,2026-03-12,2026-04-23,2026-05-07,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.06)}",83,0,0.1615262458915454,0.0,13.406678408998268,0.0,34.93975903614458,0.0,1.288371100043704,0.0,3.166134856612657,0.0
6,2026-03-26,2026-05-07,2026-05-21,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.02)}",128,0,0.17127481542021594,0.0,21.92317637378764,0.0,50.78125,0.0,1.3010268440600332,0.0,6.30586068119474,0.0
7,2026-04-09,2026-05-21,2026-06-04,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.02)}",58,0,0.2608759320319909,0.0,15.130804057855471,0.0,55.172413793103445,0.0,1.4287931212524092,0.0,4.321286941175223,0.0
8,2026-04-23,2026-06-04,2026-06-18,"{'stop_loss_pct': np.float64(0.006), 'take_profit_pct': np.float64(0.012)}",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2026-05-07,2026-06-18,2026-07-02,"{'stop_loss_pct': np.float64(0.006), 'take_profit_pct': np.float64(0.012)}",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-05-21,2026-07-02,2026-07-16,"{'stop_loss_pct': np.float64(0.006), 'take_profit_pct': np.float64(0.012)}",0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2026-06-04,2026-07-16,2026-07-30,"{'stop_loss_pct': np.float64(0.006), 'take_profit_pct': np.float64(0.012)}",0,17,0.0,0.1237759793650079,0.0,2.1041916492051342,0.0,41.17647058823529,0.0,1.3526897947453562,0.0,5.291502622129181
12,2026-06-18,2026-07-30,2026-08-13,"{'stop_loss_pct': np.float64(0.006), 'take_profit_pct': np.float64(0.02)}",19,0,0.48810282663475774,0.0,9.273953706060396,0.0,42.10526315789473,0.0,2.398693435539021,0.0,3.055050463303893,0.0
13,2026-07-02,2026-08-13,2026-08-27,"{'stop_loss_pct': np.float64(0.006), 'take_profit_pct': np.float64(0.02)}",23,0,0.40927132640642583,0.0,9.413240507347794,0.0,39.130434782608695,0.0,2.096965618557882,0.0,3.042495125286558,0.0
14,2026-07-16,2026-08-27,2026-09-01,"{'stop_loss_pct': np.float64(0.006), 'take_profit_pct': np.float64(0.02)}",24,0,0.3649945184447662,0.0,8.759868442674389,0.0,37.5,0.0,1.9485987779113547,0.0,2.7873754878044252,0.0
ALL,,,,,803,159,0.14565244044651895,0.08237846223471419,108.8505968156137,23.511356728619077,28.15159620456653,14.871776589423648,1.0659331511882686,0.5529795859007421,2.023783492916566,1.8207003229886236
