fold,train_start,test_start,test_end,params,is_trade_count,oos_trade_count,is_expectancy,oos_expectancy,is_total_pnl,oos_total_pnl,is_win_rate,oos_win_rate,is_profit_factor,oos_profit_factor,is_sharpe,oos_sharpe
0,2026-01-01,2026-02-12,2026-02-26,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.012)}",156,58,0.07317437960068386,-0.04133671648713131,11.415203217706683,-2.397529556253616,57.692307692307686,51.724137931034484,1.2218693908074432,0.8904502028651758,3.1646077588192925,2.049598936603634
1,2026-01-15,2026-02-26,2026-03-12,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.012)}",170,78,0.04246056450376522,0.15299187334771266,7.218295965640088,11.933366121121587,55.294117647058826,62.82051282051282,1.1082429021671398,1.394211401060005,2.957224437864873,6.760960069954139
2,2026-01-29,2026-03-12,2026-03-26,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.06)}",77,31,0.2536564963615167,-0.2620290620100237,19.531550219836788,-8.122900922310734,36.36363636363637,29.03225806451613,1.4083946015941158,0.6017081121365786,4.137335493684502,-4.090964354428758
3,2026-02-12,2026-03-26,2026-04-09,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.06)}",86,37,0.005443567388714176,0.09667981608191398,0.46814679542941917,3.5771531950308173,33.72093023255814,43.24324324324324,1.0086585640292396,1.195280642626738,1.1109589014497079,3.908058382574119
4,2026-02-26,2026-04-09,2026-04-23,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.06)}",103,16,0.053914396199456045,0.5212569286830946,5.553182808543973,8.340110858929513,33.980582524271846,56.25,1.0881767700030756,2.1225560100326044,0.84991179665279,7.173686608520014
5,2026-03-12,2026-04-23,2026-05-07,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.06)}",78,15,0.006958098985879137,0.3025435949427025,0.5427317208985727,4.538153924140538,35.8974358974359,66.66666666666666,1.0121636018772762,1.962435709253883,1.181730113746929,8.033461010078568
6,2026-03-26,2026-05-07,2026-05-21,"{'stop_loss_pct': np.float64(0.02), 'take_profit_pct': np.float64(0.02)}",102,24,0.23704828841174713,0.13253014778924962,24.178925417998208,3.1807235469419908,62.745098039215684,62.5,1.5442552189859569,1.2532513773159788,7.528252042066476,5.380681221246511
7,2026-04-09,2026-05-21,2026-06-04,"{'stop_loss_pct': np.float64(0.02), 'take_profit_pct': np.float64(0.02)}",70,12,0.3217974041852583,0.5707608116666686,22.525818292968083,6.8491297400000235,70.0,66.66666666666666,1.7596226358648837,5.2146519547394545,8.514504529535364,11.628055040994179
8,2026-04-23,2026-06-04,2026-06-18,"{'stop_loss_pct': np.float64(0.02), 'take_profit_pct': np.float64(0.035)}",39,34,0.40219757735492434,-0.46432158299041126,15.685705516842049,-15.786933821673983,69.23076923076923,26.47058823529412,2.161864730896987,0.5143726032342657,8.108249476806982,-8.388508579557849
9,2026-05-07,2026-06-18,2026-07-02,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.035)}",72,24,-0.046005179402289736,0.2728436594193416,-3.3123729169648612,6.548247826064198,41.66666666666667,45.83333333333333,0.9242181636836543,1.5174278892812336,-0.45525062541590433,3.9351985119662634
10,2026-05-21,2026-07-02,2026-07-16,"{'stop_loss_pct': np.float64(0.006), 'take_profit_pct': np.float64(0.035)}",125,46,0.0205361397699495,-0.13616497322189997,2.5670174712436875,-6.2635887682073985,23.200000000000003,21.73913043478261,1.0586443950242181,0.6154740291589801,0.8849183270840483,-4.58980275272612
11,2026-06-04,2026-07-16,2026-07-30,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.012)}",148,37,-0.04384571155762369,-0.08725841575707052,-6.489165310528307,-3.228561383011609,52.702702702702695,45.94594594594595,0.9061273285578363,0.7933642753612835,-1.932358750982534,-3.1223614197710474
12,2026-06-18,2026-07-30,2026-08-13,"{'stop_loss_pct': np.float64(0.015), 'take_profit_pct': np.float64(0.012)}",125,30,-0.009246177620452612,0.03911371578868549,-1.1557722025565766,1.1734114736605648,53.6,56.666666666666664,0.9781528847108114,1.1117489389532313,-1.282442909787593,-0.002228133468799989
13,2026-07-02,2026-08-13,2026-08-27,"{'stop_loss_pct': np.float64(0.025), 'take_profit_pct': np.float64(0.035)}",43,10,-0.05371784428639449,-0.22503175000000084,-2.309867304314963,-2.2503175000000084,46.51162790697674,40.0,0.908886998211007,0.5329391273088486,0.47908661308091827,-8.534569527094918
14,2026-07-16,2026-08-27,2026-09-01,"{'stop_loss_pct': np.float64(0.025), 'take_profit_pct': np.float64(0.035)}",39,3,-0.004696014191313662,0.21055216666666846,-0.18314455346123282,0.6316565000000054,43.58974358974359,66.66666666666666,0.9904997434319711,1.5933860656931307,0.35657387176582067,-2.692989777265798
ALL,,,,,1433,455,0.08397839904692134,0.07220868092796665,96.23625513928161,8.722121234431889,47.746374566222904,49.48172111168862,1.2053185286563743,1.420883889268093,2.373553405091444,1.1632183491749417
